search_idx,iteration,mean_test_score,std_test_score,mean_train_score,std_train_score,params,activation,alpha,hidden_layer_sizes,learning_rate,learning_rate_init,max_iter,solver
15,4,0.1564066374801669,0.046227709020540644,0.7219645802379101,0.18732193024154628,"{'activation': 'tanh', 'alpha': np.float64(0.02363667829150997), 'hidden_layer_sizes': (768, 512, 256), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.00020081746223260085), 'max_iter': 348, 'solver': 'adam'}",tanh,0.02363667829150997,"(768, 512, 256)",constant,0.00020081746223260085,348,adam
16,0,,,,,"{'activation': 'logistic', 'alpha': np.float64(0.0011635165224326567), 'hidden_layer_sizes': (2048, 512, 256), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.00022581068695033644), 'max_iter': 523, 'solver': 'lbfgs'}",logistic,0.0011635165224326567,"(2048, 512, 256)",adaptive,0.00022581068695033644,523,lbfgs
16,1,0.17957745032745032,0.0718920372249162,1.0,0.0,"{'activation': 'tanh', 'alpha': np.float64(0.015761838200953157), 'hidden_layer_sizes': (256,), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.0011281785040704176), 'max_iter': 317, 'solver': 'lbfgs'}",tanh,0.015761838200953157,"(256,)",invscaling,0.0011281785040704176,317,lbfgs
16,2,0.20265622612681433,0.058186789922588626,0.8018207551288808,0.1619980890807318,"{'activation': 'tanh', 'alpha': np.float64(0.014600971782667838), 'hidden_layer_sizes': (768, 512, 256), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.03862159720716089), 'max_iter': 713, 'solver': 'sgd'}",tanh,0.014600971782667838,"(768, 512, 256)",adaptive,0.03862159720716089,713,sgd
16,3,0.09524525474525476,0.040766781307439964,0.1233872119651328,0.02354007458238901,"{'activation': 'tanh', 'alpha': np.float64(0.005200637232149626), 'hidden_layer_sizes': (1024, 256), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.00011664367727585777), 'max_iter': 501, 'solver': 'sgd'}",tanh,0.005200637232149626,"(1024, 256)",adaptive,0.00011664367727585777,501,sgd
16,4,0.21815817515817515,0.07313507869856001,1.0,0.0,"{'activation': 'logistic', 'alpha': np.float64(2.8848011392036026e-05), 'hidden_layer_sizes': (768, 512, 256), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.0008857890007702066), 'max_iter': 711, 'solver': 'lbfgs'}",logistic,2.8848011392036026e-05,"(768, 512, 256)",invscaling,0.0008857890007702066,711,lbfgs
17,0,,,,,"{'activation': 'tanh', 'alpha': np.float64(0.002475424008940233), 'hidden_layer_sizes': (2048, 512, 256), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.008225722980907102), 'max_iter': 244, 'solver': 'lbfgs'}",tanh,0.002475424008940233,"(2048, 512, 256)",invscaling,0.008225722980907102,244,lbfgs
17,1,0.18898135198135196,0.051402573392189586,1.0,0.0,"{'activation': 'logistic', 'alpha': np.float64(3.9827282221492436e-05), 'hidden_layer_sizes': (512, 512, 256), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.005574916185553102), 'max_iter': 242, 'solver': 'lbfgs'}",logistic,3.9827282221492436e-05,"(512, 512, 256)",adaptive,0.005574916185553102,242,lbfgs
17,2,0.17264573171926112,0.05249813694563806,1.0,0.0,"{'activation': 'tanh', 'alpha': np.float64(0.0671793551818436), 'hidden_layer_sizes': (1024, 256), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.03655934681667734), 'max_iter': 287, 'solver': 'lbfgs'}",tanh,0.0671793551818436,"(1024, 256)",invscaling,0.03655934681667734,287,lbfgs
17,3,0.0823446643319439,0.03880447864101262,0.2385648815597309,0.08499827884793659,"{'activation': 'tanh', 'alpha': np.float64(1.7429432186945396e-05), 'hidden_layer_sizes': (512, 256), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.06488488601265847), 'max_iter': 359, 'solver': 'adam'}",tanh,1.7429432186945396e-05,"(512, 256)",invscaling,0.06488488601265847,359,adam
