search_idx,iteration,mean_test_score,std_test_score,mean_train_score,std_train_score,params,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample
0,0,0.35344289426939823,0.021796616595537055,0.9930938858855273,0.001049581318028462,"{'colsample_bytree': np.float64(0.30165462191330844), 'gamma': np.float64(0.23906797632465168), 'learning_rate': np.float64(2.1809608639104567), 'max_depth': 32, 'min_child_weight': 7, 'n_estimators': 141, 'reg_alpha': np.float64(2.972553545850475), 'reg_lambda': np.float64(2.8063270417943293), 'subsample': np.float64(0.8918133682202798)}",0.30165462191330844,0.23906797632465168,2.1809608639104567,32,7,141,2.972553545850475,2.8063270417943293,0.8918133682202798
0,1,0.3558630394737011,0.020889264502679403,0.9946893878115937,0.0015837637122069939,"{'colsample_bytree': np.float64(0.5472649172489358), 'gamma': np.float64(0.17888019047601106), 'learning_rate': np.float64(1.3944362526993048), 'max_depth': 31, 'min_child_weight': 12, 'n_estimators': 152, 'reg_alpha': np.float64(2.412033047975761), 'reg_lambda': np.float64(2.5182576664898035), 'subsample': np.float64(0.4664996878384179)}",0.5472649172489358,0.17888019047601106,1.3944362526993048,31,12,152,2.412033047975761,2.5182576664898035,0.4664996878384179
0,2,0.4395691227231655,0.016602549902179898,0.9842604072466938,0.002872181328311408,"{'colsample_bytree': np.float64(0.5353764929244422), 'gamma': np.float64(0.7725637385575413), 'learning_rate': np.float64(0.7388769242636961), 'max_depth': 39, 'min_child_weight': 11, 'n_estimators': 233, 'reg_alpha': np.float64(2.621766640170792), 'reg_lambda': np.float64(2.3485393910162835), 'subsample': np.float64(0.8103815035454902)}",0.5353764929244422,0.7725637385575413,0.7388769242636961,39,11,233,2.621766640170792,2.3485393910162835,0.8103815035454902
0,3,0.34094882494844236,0.023314468190608506,0.9838686635462525,0.0030669470337982164,"{'colsample_bytree': np.float64(0.30948212914822165), 'gamma': np.float64(0.4742966606511052), 'learning_rate': np.float64(2.1378809688160647), 'max_depth': 10, 'min_child_weight': 12, 'n_estimators': 100, 'reg_alpha': np.float64(2.1105665338724444), 'reg_lambda': np.float64(3.416491970585546), 'subsample': np.float64(0.5197443005003093)}",0.30948212914822165,0.4742966606511052,2.1378809688160647,10,12,100,2.1105665338724444,3.416491970585546,0.5197443005003093
0,4,0.43934115731678036,0.021494872252407458,0.9924611160488702,0.0019199168255572513,"{'colsample_bytree': np.float64(0.6734363314440535), 'gamma': np.float64(0.5825703729588887), 'learning_rate': np.float64(0.7408560596074099), 'max_depth': 21, 'min_child_weight': 7, 'n_estimators': 113, 'reg_alpha': np.float64(2.8232375997140267), 'reg_lambda': np.float64(3.4099051477923306), 'subsample': np.float64(0.8815859258192154)}",0.6734363314440535,0.5825703729588887,0.7408560596074099,21,7,113,2.8232375997140267,3.4099051477923306,0.8815859258192154
1,0,0.3745498439412517,0.011698488371486857,0.9820858911828798,0.0024628772519107974,"{'colsample_bytree': np.float64(0.531964086104411), 'gamma': np.float64(0.8177318450796214), 'learning_rate': np.float64(1.895251882902492), 'max_depth': 17, 'min_child_weight': 11, 'n_estimators': 130, 'reg_alpha': np.float64(2.193348009915638), 'reg_lambda': np.float64(2.2134795296701313), 'subsample': np.float64(0.7839414364376567)}",0.531964086104411,0.8177318450796214,1.895251882902492,17,11,130,2.193348009915638,2.2134795296701313,0.7839414364376567
1,1,0.3602382640718971,0.022747617168151445,0.9741835590794844,0.003162566696895099,"{'colsample_bytree': np.float64(0.4838468567168254), 'gamma': np.float64(0.5625285277108429), 'learning_rate': np.float64(1.2695993077829377), 'max_depth': 12, 'min_child_weight': 17, 'n_estimators': 139, 'reg_alpha': np.float64(2.626853528210958), 'reg_lambda': np.float64(2.325714718022588), 'subsample': np.float64(0.5113700797560154)}",0.4838468567168254,0.5625285277108429,1.2695993077829377,12,17,139,2.626853528210958,2.325714718022588,0.5113700797560154
1,2,0.38517076213930707,0.03162770749731563,0.9986360823000624,0.0008947119022477485,"{'colsample_bytree': np.float64(0.4693769854511275), 'gamma': np.float64(0.21588096375368013), 'learning_rate': np.float64(1.4755010716790669), 'max_depth': 30, 'min_child_weight': 18, 'n_estimators': 122, 'reg_alpha': np.float64(1.9117831940224885), 'reg_lambda': np.float64(2.3761928080551873), 'subsample': np.float64(0.6956039797689211)}",0.4693769854511275,0.21588096375368013,1.4755010716790669,30,18,122,1.9117831940224885,2.3761928080551873,0.6956039797689211
1,3,0.36946065892504504,0.025132184733194247,0.9966268798284201,0.001608152800048559,"{'colsample_bytree': np.float64(0.5179136826783061), 'gamma': np.float64(0.4864158804633746), 'learning_rate': np.float64(1.5873516404031565), 'max_depth': 7, 'min_child_weight': 7, 'n_estimators': 215, 'reg_alpha': np.float64(1.825609727220832), 'reg_lambda': np.float64(2.9403782448093247), 'subsample': np.float64(0.6017355407307605)}",0.5179136826783061,0.4864158804633746,1.5873516404031565,7,7,215,1.825609727220832,2.9403782448093247,0.6017355407307605
1,4,0.3550223827083293,0.02200126429255521,0.9822010837158095,0.0019359255746923178,"{'colsample_bytree': np.float64(0.5534006129398629), 'gamma': np.float64(0.8295430312816018), 'learning_rate': np.float64(1.5452589869437179), 'max_depth': 29, 'min_child_weight': 11, 'n_estimators': 206, 'reg_alpha': np.float64(2.16386514806729), 'reg_lambda': np.float64(2.5454886688170357), 'subsample': np.float64(0.5509045083256697)}",0.5534006129398629,0.8295430312816018,1.5452589869437179,29,11,206,2.16386514806729,2.5454886688170357,0.5509045083256697
