search_idx,iteration,mean_test_score,std_test_score,mean_train_score,std_train_score,params,mlp1_activation,mlp1_alpha,mlp1_hidden_layers,mlp1_learning_rate,mlp1_learning_rate_init,mlp1_max_iter,mlp1_solver,mlp2_activation,mlp2_alpha,mlp2_hidden_layers,mlp2_learning_rate,mlp2_learning_rate_init,mlp2_max_iter,mlp2_solver,mlp3_activation,mlp3_alpha,mlp3_hidden_layers,mlp3_learning_rate,mlp3_learning_rate_init,mlp3_max_iter,mlp3_solver
15,4,0.46698625193206833,0.045477725677097604,0.9976553908120118,0.000842438848900829,"{'mlp1_activation': 'relu', 'mlp1_alpha': np.float64(0.00019934622567289008), 'mlp1_hidden_layers': (1024, 384, 128), 'mlp1_learning_rate': 'constant', 'mlp1_learning_rate_init': np.float64(0.0001031343581011958), 'mlp1_max_iter': 1227, 'mlp1_solver': 'sgd', 'mlp2_activation': 'relu', 'mlp2_alpha': np.float64(1.541069767515285e-05), 'mlp2_hidden_layers': (128, 64), 'mlp2_learning_rate': 'adaptive', 'mlp2_learning_rate_init': np.float64(0.0007858482327182706), 'mlp2_max_iter': 1076, 'mlp2_solver': 'sgd', 'mlp3_activation': 'logistic', 'mlp3_alpha': np.float64(0.028540170351872396), 'mlp3_hidden_layers': (100, 50), 'mlp3_learning_rate': 'adaptive', 'mlp3_learning_rate_init': np.float64(0.00022777518955102076), 'mlp3_max_iter': 1433, 'mlp3_solver': 'lbfgs'}",relu,0.00019934622567289008,"(1024, 384, 128)",constant,0.0001031343581011958,1227,sgd,relu,1.541069767515285e-05,"(128, 64)",adaptive,0.0007858482327182706,1076,sgd,logistic,0.028540170351872396,"(100, 50)",adaptive,0.00022777518955102076,1433,lbfgs
16,0,0.6047145314531861,0.03091484541036397,0.9517753157782612,0.010752097896300524,"{'mlp1_activation': 'logistic', 'mlp1_alpha': np.float64(0.0008121356501967692), 'mlp1_hidden_layers': (1024, 384, 128), 'mlp1_learning_rate': 'adaptive', 'mlp1_learning_rate_init': np.float64(0.0008493160750825549), 'mlp1_max_iter': 1187, 'mlp1_solver': 'sgd', 'mlp2_activation': 'relu', 'mlp2_alpha': np.float64(0.0006200947273119677), 'mlp2_hidden_layers': (256,), 'mlp2_learning_rate': 'adaptive', 'mlp2_learning_rate_init': np.float64(0.002117142209083771), 'mlp2_max_iter': 933, 'mlp2_solver': 'adam', 'mlp3_activation': 'tanh', 'mlp3_alpha': np.float64(2.1009222050983115e-05), 'mlp3_hidden_layers': (50, 25), 'mlp3_learning_rate': 'constant', 'mlp3_learning_rate_init': np.float64(0.07748570284387299), 'mlp3_max_iter': 1248, 'mlp3_solver': 'adam'}",logistic,0.0008121356501967692,"(1024, 384, 128)",adaptive,0.0008493160750825549,1187,sgd,relu,0.0006200947273119677,"(256,)",adaptive,0.002117142209083771,933,adam,tanh,2.1009222050983115e-05,"(50, 25)",constant,0.07748570284387299,1248,adam
16,1,0.5258320927755131,0.035423523152998196,0.8964406951892785,0.045828287340198115,"{'mlp1_activation': 'tanh', 'mlp1_alpha': np.float64(5.8979653280309154e-05), 'mlp1_hidden_layers': (1024, 384, 128), 'mlp1_learning_rate': 'constant', 'mlp1_learning_rate_init': np.float64(0.0008068895129794637), 'mlp1_max_iter': 566, 'mlp1_solver': 'sgd', 'mlp2_activation': 'tanh', 'mlp2_alpha': np.float64(0.0015166651415139567), 'mlp2_hidden_layers': (128, 64), 'mlp2_learning_rate': 'adaptive', 'mlp2_learning_rate_init': np.float64(0.0009514857845530467), 'mlp2_max_iter': 1344, 'mlp2_solver': 'sgd', 'mlp3_activation': 'relu', 'mlp3_alpha': np.float64(0.04241579415338466), 'mlp3_hidden_layers': (50,), 'mlp3_learning_rate': 'constant', 'mlp3_learning_rate_init': np.float64(0.000818176267871814), 'mlp3_max_iter': 1485, 'mlp3_solver': 'adam'}",tanh,5.8979653280309154e-05,"(1024, 384, 128)",constant,0.0008068895129794637,566,sgd,tanh,0.0015166651415139567,"(128, 64)",adaptive,0.0009514857845530467,1344,sgd,relu,0.04241579415338466,"(50,)",constant,0.000818176267871814,1485,adam
16,2,0.3433099309099803,0.022323258917265974,1.0,0.0,"{'mlp1_activation': 'tanh', 'mlp1_alpha': np.float64(3.733246931473769e-05), 'mlp1_hidden_layers': (768, 256), 'mlp1_learning_rate': 'constant', 'mlp1_learning_rate_init': np.float64(0.0018663293455921815), 'mlp1_max_iter': 897, 'mlp1_solver': 'adam', 'mlp2_activation': 'logistic', 'mlp2_alpha': np.float64(0.0022767501452515427), 'mlp2_hidden_layers': (256, 128, 64), 'mlp2_learning_rate': 'constant', 'mlp2_learning_rate_init': np.float64(0.0010221525205662111), 'mlp2_max_iter': 929, 'mlp2_solver': 'lbfgs', 'mlp3_activation': 'tanh', 'mlp3_alpha': np.float64(0.00034884777018013587), 'mlp3_hidden_layers': (100, 50, 25), 'mlp3_learning_rate': 'adaptive', 'mlp3_learning_rate_init': np.float64(0.0016858949036082818), 'mlp3_max_iter': 1420, 'mlp3_solver': 'lbfgs'}",tanh,3.733246931473769e-05,"(768, 256)",constant,0.0018663293455921815,897,adam,logistic,0.0022767501452515427,"(256, 128, 64)",constant,0.0010221525205662111,929,lbfgs,tanh,0.00034884777018013587,"(100, 50, 25)",adaptive,0.0016858949036082818,1420,lbfgs
16,3,0.32163803169924726,0.05342657968069671,0.8244118622312975,0.11432394536892922,"{'mlp1_activation': 'logistic', 'mlp1_alpha': np.float64(0.0003593761225577459), 'mlp1_hidden_layers': (1024, 256), 'mlp1_learning_rate': 'adaptive', 'mlp1_learning_rate_init': np.float64(0.04705443200207468), 'mlp1_max_iter': 668, 'mlp1_solver': 'sgd', 'mlp2_activation': 'tanh', 'mlp2_alpha': np.float64(0.0055965752967626235), 'mlp2_hidden_layers': (128, 64), 'mlp2_learning_rate': 'constant', 'mlp2_learning_rate_init': np.float64(0.010795001823482364), 'mlp2_max_iter': 887, 'mlp2_solver': 'adam', 'mlp3_activation': 'tanh', 'mlp3_alpha': np.float64(0.0009315621086377632), 'mlp3_hidden_layers': (50,), 'mlp3_learning_rate': 'constant', 'mlp3_learning_rate_init': np.float64(0.0007351442195014434), 'mlp3_max_iter': 1003, 'mlp3_solver': 'adam'}",logistic,0.0003593761225577459,"(1024, 256)",adaptive,0.04705443200207468,668,sgd,tanh,0.0055965752967626235,"(128, 64)",constant,0.010795001823482364,887,adam,tanh,0.0009315621086377632,"(50,)",constant,0.0007351442195014434,1003,adam
16,4,0.4859212276394261,0.051371383209841484,0.8214679936000273,0.062097070896916136,"{'mlp1_activation': 'relu', 'mlp1_alpha': np.float64(6.1001245311437566e-05), 'mlp1_hidden_layers': (512, 256, 128), 'mlp1_learning_rate': 'adaptive', 'mlp1_learning_rate_init': np.float64(0.0008081943066895349), 'mlp1_max_iter': 1007, 'mlp1_solver': 'sgd', 'mlp2_activation': 'tanh', 'mlp2_alpha': np.float64(0.00021156077381038723), 'mlp2_hidden_layers': (128, 64), 'mlp2_learning_rate': 'constant', 'mlp2_learning_rate_init': np.float64(0.0012390079148818908), 'mlp2_max_iter': 1347, 'mlp2_solver': 'sgd', 'mlp3_activation': 'logistic', 'mlp3_alpha': np.float64(0.026554010165895085), 'mlp3_hidden_layers': (50,), 'mlp3_learning_rate': 'constant', 'mlp3_learning_rate_init': np.float64(0.03817791044506631), 'mlp3_max_iter': 1232, 'mlp3_solver': 'adam'}",relu,6.1001245311437566e-05,"(512, 256, 128)",adaptive,0.0008081943066895349,1007,sgd,tanh,0.00021156077381038723,"(128, 64)",constant,0.0012390079148818908,1347,sgd,logistic,0.026554010165895085,"(50,)",constant,0.03817791044506631,1232,adam
17,0,0.2238272242225018,0.022838586008945325,1.0,0.0,"{'mlp1_activation': 'tanh', 'mlp1_alpha': np.float64(0.0007232341317306933), 'mlp1_hidden_layers': (512, 256, 128), 'mlp1_learning_rate': 'constant', 'mlp1_learning_rate_init': np.float64(0.0053217492087762035), 'mlp1_max_iter': 1337, 'mlp1_solver': 'sgd', 'mlp2_activation': 'tanh', 'mlp2_alpha': np.float64(0.0006813743580703334), 'mlp2_hidden_layers': (128, 64), 'mlp2_learning_rate': 'constant', 'mlp2_learning_rate_init': np.float64(0.0003414544268366343), 'mlp2_max_iter': 567, 'mlp2_solver': 'lbfgs', 'mlp3_activation': 'logistic', 'mlp3_alpha': np.float64(8.34083971494236e-05), 'mlp3_hidden_layers': (50,), 'mlp3_learning_rate': 'adaptive', 'mlp3_learning_rate_init': np.float64(0.0016968050177310259), 'mlp3_max_iter': 1155, 'mlp3_solver': 'lbfgs'}",tanh,0.0007232341317306933,"(512, 256, 128)",constant,0.0053217492087762035,1337,sgd,tanh,0.0006813743580703334,"(128, 64)",constant,0.0003414544268366343,567,lbfgs,logistic,8.34083971494236e-05,"(50,)",adaptive,0.0016968050177310259,1155,lbfgs
17,1,0.546470642945459,0.04389158007187603,0.9089065510559242,0.04382402848755353,"{'mlp1_activation': 'relu', 'mlp1_alpha': np.float64(0.0014588159349346438), 'mlp1_hidden_layers': (1024, 384, 128), 'mlp1_learning_rate': 'constant', 'mlp1_learning_rate_init': np.float64(0.0013050827549309224), 'mlp1_max_iter': 688, 'mlp1_solver': 'sgd', 'mlp2_activation': 'logistic', 'mlp2_alpha': np.float64(0.015209884778175805), 'mlp2_hidden_layers': (256, 128, 64), 'mlp2_learning_rate': 'adaptive', 'mlp2_learning_rate_init': np.float64(0.0003702184149680336), 'mlp2_max_iter': 548, 'mlp2_solver': 'sgd', 'mlp3_activation': 'logistic', 'mlp3_alpha': np.float64(1.0654757560456206e-05), 'mlp3_hidden_layers': (100, 50, 25), 'mlp3_learning_rate': 'adaptive', 'mlp3_learning_rate_init': np.float64(0.01619285131073043), 'mlp3_max_iter': 1180, 'mlp3_solver': 'adam'}",relu,0.0014588159349346438,"(1024, 384, 128)",constant,0.0013050827549309224,688,sgd,logistic,0.015209884778175805,"(256, 128, 64)",adaptive,0.0003702184149680336,548,sgd,logistic,1.0654757560456206e-05,"(100, 50, 25)",adaptive,0.01619285131073043,1180,adam
17,2,0.1657732613427178,0.008990478301102025,1.0,0.0,"{'mlp1_activation': 'logistic', 'mlp1_alpha': np.float64(0.0001236851532368789), 'mlp1_hidden_layers': (1024, 384, 128), 'mlp1_learning_rate': 'adaptive', 'mlp1_learning_rate_init': np.float64(0.0007199748117842012), 'mlp1_max_iter': 760, 'mlp1_solver': 'sgd', 'mlp2_activation': 'logistic', 'mlp2_alpha': np.float64(5.354947076044852e-05), 'mlp2_hidden_layers': (256,), 'mlp2_learning_rate': 'adaptive', 'mlp2_learning_rate_init': np.float64(0.00152756888404479), 'mlp2_max_iter': 782, 'mlp2_solver': 'lbfgs', 'mlp3_activation': 'tanh', 'mlp3_alpha': np.float64(0.00016234315772094407), 'mlp3_hidden_layers': (50,), 'mlp3_learning_rate': 'adaptive', 'mlp3_learning_rate_init': np.float64(0.08327947463801189), 'mlp3_max_iter': 571, 'mlp3_solver': 'lbfgs'}",logistic,0.0001236851532368789,"(1024, 384, 128)",adaptive,0.0007199748117842012,760,sgd,logistic,5.354947076044852e-05,"(256,)",adaptive,0.00152756888404479,782,lbfgs,tanh,0.00016234315772094407,"(50,)",adaptive,0.08327947463801189,571,lbfgs
17,3,0.24997512409467762,0.0302019059104223,0.9997064444765001,0.00037920073728040123,"{'mlp1_activation': 'logistic', 'mlp1_alpha': np.float64(4.4071028566464094e-05), 'mlp1_hidden_layers': (768, 256), 'mlp1_learning_rate': 'constant', 'mlp1_learning_rate_init': np.float64(0.011277807560217356), 'mlp1_max_iter': 1489, 'mlp1_solver': 'adam', 'mlp2_activation': 'logistic', 'mlp2_alpha': np.float64(0.010039068365584602), 'mlp2_hidden_layers': (256, 128, 64), 'mlp2_learning_rate': 'adaptive', 'mlp2_learning_rate_init': np.float64(0.0003116199669676729), 'mlp2_max_iter': 900, 'mlp2_solver': 'sgd', 'mlp3_activation': 'tanh', 'mlp3_alpha': np.float64(0.005159420951753253), 'mlp3_hidden_layers': (50, 25), 'mlp3_learning_rate': 'adaptive', 'mlp3_learning_rate_init': np.float64(0.006889546138996599), 'mlp3_max_iter': 1466, 'mlp3_solver': 'lbfgs'}",logistic,4.4071028566464094e-05,"(768, 256)",constant,0.011277807560217356,1489,adam,logistic,0.010039068365584602,"(256, 128, 64)",adaptive,0.0003116199669676729,900,sgd,tanh,0.005159420951753253,"(50, 25)",adaptive,0.006889546138996599,1466,lbfgs
