search_idx,iteration,mean_test_score,std_test_score,mean_train_score,std_train_score,params,bagging_fraction,bagging_freq,feature_fraction,lambda_l1,lambda_l2,learning_rate,max_depth,min_child_samples,min_child_weight,n_estimators,num_leaves
0,0,0.4415590785456299,0.020316660269041498,0.9904425334827447,0.001512292264940604,"{'bagging_fraction': np.float64(0.76042335351119), 'bagging_freq': 24, 'feature_fraction': np.float64(0.3152050598803724), 'lambda_l1': np.float64(0.6882634184335974), 'lambda_l2': np.float64(1.6511878542432024), 'learning_rate': np.float64(0.3106099966215571), 'max_depth': 10, 'min_child_samples': 56, 'min_child_weight': 12, 'n_estimators': 129, 'num_leaves': 149}",0.76042335351119,24,0.3152050598803724,0.6882634184335974,1.6511878542432024,0.3106099966215571,10,56,12,129,149
0,1,0.37019840338813,0.03210710773761938,0.9897918147482327,0.002367111338172926,"{'bagging_fraction': np.float64(0.8819620387157165), 'bagging_freq': 32, 'feature_fraction': np.float64(0.5714852381301522), 'lambda_l1': np.float64(1.0522804072464313), 'lambda_l2': np.float64(1.8929101451220607), 'learning_rate': np.float64(0.9491231016192226), 'max_depth': 23, 'min_child_samples': 53, 'min_child_weight': 15, 'n_estimators': 111, 'num_leaves': 178}",0.8819620387157165,32,0.5714852381301522,1.0522804072464313,1.8929101451220607,0.9491231016192226,23,53,15,111,178
0,2,0.3164437780881861,0.023327587885432217,0.876905715606663,0.005460118618481472,"{'bagging_fraction': np.float64(0.6096207959462975), 'bagging_freq': 30, 'feature_fraction': np.float64(0.2175929263846844), 'lambda_l1': np.float64(0.5450242292637066), 'lambda_l2': np.float64(1.1879495435901029), 'learning_rate': np.float64(0.6236228488769731), 'max_depth': 26, 'min_child_samples': 108, 'min_child_weight': 18, 'n_estimators': 112, 'num_leaves': 173}",0.6096207959462975,30,0.2175929263846844,0.5450242292637066,1.1879495435901029,0.6236228488769731,26,108,18,112,173
0,3,0.4283219370984094,0.0406372559248234,0.8785246414031633,0.005722453642239903,"{'bagging_fraction': np.float64(0.7811803315775595), 'bagging_freq': 55, 'feature_fraction': np.float64(0.14978162576293755), 'lambda_l1': np.float64(1.8782769451357406), 'lambda_l2': np.float64(1.190051557886326), 'learning_rate': np.float64(0.5552298937200497), 'max_depth': 28, 'min_child_samples': 50, 'min_child_weight': 6, 'n_estimators': 44, 'num_leaves': 52}",0.7811803315775595,55,0.14978162576293755,1.8782769451357406,1.190051557886326,0.5552298937200497,28,50,6,44,52
0,4,0.4721412652694045,0.02029134790278326,0.941919024518983,0.005918229024383245,"{'bagging_fraction': np.float64(0.7265661202970713), 'bagging_freq': 48, 'feature_fraction': np.float64(0.3111025596728191), 'lambda_l1': np.float64(1.8784694223092862), 'lambda_l2': np.float64(1.4709695672690886), 'learning_rate': np.float64(0.12836583782897695), 'max_depth': 29, 'min_child_samples': 59, 'min_child_weight': 10, 'n_estimators': 104, 'num_leaves': 168}",0.7265661202970713,48,0.3111025596728191,1.8784694223092862,1.4709695672690886,0.12836583782897695,29,59,10,104,168
0,5,0.3776687627360559,0.01894200292287776,0.7687444071746006,0.005293821306418825,"{'bagging_fraction': np.float64(0.6091320502602262), 'bagging_freq': 68, 'feature_fraction': np.float64(0.3501656851337156), 'lambda_l1': np.float64(1.9391194252328692), 'lambda_l2': np.float64(1.8203061330366948), 'learning_rate': np.float64(0.5919678700771484), 'max_depth': 18, 'min_child_samples': 65, 'min_child_weight': 5, 'n_estimators': 96, 'num_leaves': 194}",0.6091320502602262,68,0.3501656851337156,1.9391194252328692,1.8203061330366948,0.5919678700771484,18,65,5,96,194
0,6,0.4644676357684361,0.036698544684816904,0.9423792041102124,0.019917295681478833,"{'bagging_fraction': np.float64(0.8663597793091475), 'bagging_freq': 57, 'feature_fraction': np.float64(0.44126849550584824), 'lambda_l1': np.float64(1.9756576780074844), 'lambda_l2': np.float64(1.743135892796945), 'learning_rate': np.float64(0.46041574007493447), 'max_depth': 19, 'min_child_samples': 116, 'min_child_weight': 6, 'n_estimators': 83, 'num_leaves': 150}",0.8663597793091475,57,0.44126849550584824,1.9756576780074844,1.743135892796945,0.46041574007493447,19,116,6,83,150
0,7,0.40751198841063924,0.03159869800241026,0.964496261625152,0.0018384658508740375,"{'bagging_fraction': np.float64(0.7267235288146436), 'bagging_freq': 32, 'feature_fraction': np.float64(0.2968773291561989), 'lambda_l1': np.float64(1.378019936557246), 'lambda_l2': np.float64(1.457044595436874), 'learning_rate': np.float64(0.936452029380392), 'max_depth': 12, 'min_child_samples': 78, 'min_child_weight': 8, 'n_estimators': 84, 'num_leaves': 169}",0.7267235288146436,32,0.2968773291561989,1.378019936557246,1.457044595436874,0.936452029380392,12,78,8,84,169
0,8,0.36613595859522485,0.03931596265083864,0.9772739671829189,0.0031570349990448342,"{'bagging_fraction': np.float64(0.6811421987368482), 'bagging_freq': 24, 'feature_fraction': np.float64(0.4758372651026236), 'lambda_l1': np.float64(1.8113283436903715), 'lambda_l2': np.float64(2.4049012883632224), 'learning_rate': np.float64(0.9771041349426951), 'max_depth': 12, 'min_child_samples': 111, 'min_child_weight': 10, 'n_estimators': 121, 'num_leaves': 199}",0.6811421987368482,24,0.4758372651026236,1.8113283436903715,2.4049012883632224,0.9771041349426951,12,111,10,121,199
0,9,0.3548591998241162,0.03174515542895906,0.9537501467112726,0.0018666187577983382,"{'bagging_fraction': np.float64(0.8885832519151604), 'bagging_freq': 50, 'feature_fraction': np.float64(0.3585697471814434), 'lambda_l1': np.float64(1.4890514745400114), 'lambda_l2': np.float64(1.0557783086736663), 'learning_rate': np.float64(0.9021584366547515), 'max_depth': 11, 'min_child_samples': 58, 'min_child_weight': 21, 'n_estimators': 87, 'num_leaves': 90}",0.8885832519151604,50,0.3585697471814434,1.4890514745400114,1.0557783086736663,0.9021584366547515,11,58,21,87,90
