search_idx,iteration,mean_test_score,std_test_score,mean_train_score,std_train_score,params,bagging_fraction,bagging_freq,feature_fraction,lambda_l1,lambda_l2,learning_rate,max_depth,min_child_samples,min_child_weight,n_estimators,num_leaves
0,0,0.4348695180560214,0.023483562878343647,0.9998272902620728,0.0003454194758542251,"{'bagging_fraction': np.float64(0.8232447859289984), 'bagging_freq': 13, 'feature_fraction': np.float64(0.15008382652112892), 'lambda_l1': np.float64(0.5594096071005362), 'lambda_l2': np.float64(2.347800445087973), 'learning_rate': np.float64(0.6496884602169883), 'max_depth': 27, 'min_child_samples': 117, 'min_child_weight': 6, 'n_estimators': 123, 'num_leaves': 162}",0.8232447859289984,13,0.15008382652112892,0.5594096071005362,2.347800445087973,0.6496884602169883,27,117,6,123,162
0,1,0.3984224038703245,0.03661299958725132,0.9976504444157637,0.0010561965958219104,"{'bagging_fraction': np.float64(0.8776589358973932), 'bagging_freq': 20, 'feature_fraction': np.float64(0.24463077433128663), 'lambda_l1': np.float64(1.6329155119877257), 'lambda_l2': np.float64(1.1760323264450538), 'learning_rate': np.float64(0.8177191701850969), 'max_depth': 12, 'min_child_samples': 90, 'min_child_weight': 13, 'n_estimators': 146, 'num_leaves': 132}",0.8776589358973932,20,0.24463077433128663,1.6329155119877257,1.1760323264450538,0.8177191701850969,12,90,13,146,132
0,2,0.4372147484048606,0.01830484331670628,0.9904570892284804,0.0017286963469784447,"{'bagging_fraction': np.float64(0.5947639460414657), 'bagging_freq': 19, 'feature_fraction': np.float64(0.4223529846518347), 'lambda_l1': np.float64(0.9215644453918532), 'lambda_l2': np.float64(2.433888907790455), 'learning_rate': np.float64(0.45894827595365084), 'max_depth': 23, 'min_child_samples': 117, 'min_child_weight': 4, 'n_estimators': 117, 'num_leaves': 194}",0.5947639460414657,19,0.4223529846518347,0.9215644453918532,2.433888907790455,0.45894827595365084,23,117,4,117,194
0,3,0.3557662778829534,0.02384785084050758,0.9367248354827181,0.007478893661084485,"{'bagging_fraction': np.float64(0.5563928269161559), 'bagging_freq': 16, 'feature_fraction': np.float64(0.4053169101165769), 'lambda_l1': np.float64(1.7973464634798997), 'lambda_l2': np.float64(2.478689030977513), 'learning_rate': np.float64(0.9623868496530356), 'max_depth': 12, 'min_child_samples': 85, 'min_child_weight': 8, 'n_estimators': 79, 'num_leaves': 64}",0.5563928269161559,16,0.4053169101165769,1.7973464634798997,2.478689030977513,0.9623868496530356,12,85,8,79,64
0,4,0.32976668390092023,0.029027154146676244,0.9227291576304572,0.004640775140174287,"{'bagging_fraction': np.float64(0.662599629533337), 'bagging_freq': 43, 'feature_fraction': np.float64(0.1696620290529022), 'lambda_l1': np.float64(1.7528643028611124), 'lambda_l2': np.float64(1.3938100480969808), 'learning_rate': np.float64(0.8605037800285421), 'max_depth': 14, 'min_child_samples': 83, 'min_child_weight': 15, 'n_estimators': 138, 'num_leaves': 106}",0.662599629533337,43,0.1696620290529022,1.7528643028611124,1.3938100480969808,0.8605037800285421,14,83,15,138,106
0,5,0.43820332276426804,0.045790505659169714,0.9742599773212485,0.003131672803827117,"{'bagging_fraction': np.float64(0.8093547518303048), 'bagging_freq': 24, 'feature_fraction': np.float64(0.5655806448908717), 'lambda_l1': np.float64(1.3375070353751228), 'lambda_l2': np.float64(1.8676338774155967), 'learning_rate': np.float64(0.6290555149208572), 'max_depth': 20, 'min_child_samples': 56, 'min_child_weight': 4, 'n_estimators': 41, 'num_leaves': 135}",0.8093547518303048,24,0.5655806448908717,1.3375070353751228,1.8676338774155967,0.6290555149208572,20,56,4,41,135
0,6,0.37970458376901023,0.02293967264571171,0.8194791391351701,0.0056710297699348825,"{'bagging_fraction': np.float64(0.7119776590319831), 'bagging_freq': 65, 'feature_fraction': np.float64(0.5708043945459544), 'lambda_l1': np.float64(1.6106934676888134), 'lambda_l2': np.float64(1.970021720539851), 'learning_rate': np.float64(0.36818113279672315), 'max_depth': 10, 'min_child_samples': 82, 'min_child_weight': 16, 'n_estimators': 39, 'num_leaves': 77}",0.7119776590319831,65,0.5708043945459544,1.6106934676888134,1.970021720539851,0.36818113279672315,10,82,16,39,77
0,7,0.32662475129425983,0.020344759001829804,0.7872318365338462,0.008723315834130442,"{'bagging_fraction': np.float64(0.5838511409965879), 'bagging_freq': 49, 'feature_fraction': np.float64(0.28413908202741367), 'lambda_l1': np.float64(1.5921619249080559), 'lambda_l2': np.float64(2.496590743840904), 'learning_rate': np.float64(0.48685286817732887), 'max_depth': 28, 'min_child_samples': 107, 'min_child_weight': 18, 'n_estimators': 97, 'num_leaves': 173}",0.5838511409965879,49,0.28413908202741367,1.5921619249080559,2.496590743840904,0.48685286817732887,28,107,18,97,173
0,8,0.3722408589024118,0.035577854988657814,0.9752526544446758,0.0017223184179640339,"{'bagging_fraction': np.float64(0.6400952459879484), 'bagging_freq': 14, 'feature_fraction': np.float64(0.26174648668598033), 'lambda_l1': np.float64(1.7167100859099205), 'lambda_l2': np.float64(1.7045585311869789), 'learning_rate': np.float64(0.6094656659315417), 'max_depth': 12, 'min_child_samples': 102, 'min_child_weight': 14, 'n_estimators': 136, 'num_leaves': 131}",0.6400952459879484,14,0.26174648668598033,1.7167100859099205,1.7045585311869789,0.6094656659315417,12,102,14,136,131
0,9,0.38333185996474617,0.03360099951332542,0.9801609957250295,0.004133566418323254,"{'bagging_fraction': np.float64(0.6912006909881475), 'bagging_freq': 16, 'feature_fraction': np.float64(0.5372257811282983), 'lambda_l1': np.float64(1.6561316840650913), 'lambda_l2': np.float64(1.5027786733490924), 'learning_rate': np.float64(0.6389735638860934), 'max_depth': 15, 'min_child_samples': 115, 'min_child_weight': 14, 'n_estimators': 118, 'num_leaves': 173}",0.6912006909881475,16,0.5372257811282983,1.6561316840650913,1.5027786733490924,0.6389735638860934,15,115,14,118,173
