search_idx,iteration,mean_test_score,std_test_score,mean_train_score,std_train_score,params,alpha,hidden_layer_sizes,learning_rate,learning_rate_init,max_iter,solver
0,17,0.47647680726964625,0.023404159708250473,1.0,0.0,"{'alpha': np.float64(0.00014861970098936045), 'hidden_layer_sizes': (512,), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.03837639901132812), 'max_iter': 677, 'solver': 'lbfgs'}",0.00014861970098936045,"(512,)",adaptive,0.03837639901132812,677,lbfgs
0,18,0.3817009481506049,0.031050075860082172,0.8953781578560068,0.07336578593495534,"{'alpha': np.float64(6.092893439334522e-05), 'hidden_layer_sizes': (768, 256), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.002725163663270941), 'max_iter': 1147, 'solver': 'sgd'}",6.092893439334522e-05,"(768, 256)",constant,0.002725163663270941,1147,sgd
0,19,0.47128820651649805,0.03822728241493947,1.0,0.0,"{'alpha': np.float64(0.004350895862889842), 'hidden_layer_sizes': (256, 256), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.08399721191284623), 'max_iter': 573, 'solver': 'lbfgs'}",0.004350895862889842,"(256, 256)",constant,0.08399721191284623,573,lbfgs
1,0,0.47647680726964625,0.023404159708250473,1.0,0.0,"{'alpha': np.float64(0.00021865317318340587), 'hidden_layer_sizes': (512,), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.00015972147927648684), 'max_iter': 1077, 'solver': 'lbfgs'}",0.00021865317318340587,"(512,)",adaptive,0.00015972147927648684,1077,lbfgs
1,1,0.4674156437701029,0.05663113630611271,1.0,0.0,"{'alpha': np.float64(0.0001666763388970918), 'hidden_layer_sizes': (1536, 384, 128), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.0004125492779058696), 'max_iter': 548, 'solver': 'lbfgs'}",0.0001666763388970918,"(1536, 384, 128)",adaptive,0.0004125492779058696,548,lbfgs
1,2,0.04040245749983761,0.012702828934740649,0.06686182492407144,0.02196157298730971,"{'alpha': np.float64(0.0003388290139247005), 'hidden_layer_sizes': (768, 256), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.03218934585233591), 'max_iter': 994, 'solver': 'adam'}",0.0003388290139247005,"(768, 256)",constant,0.03218934585233591,994,adam
1,3,0.4681166083560451,0.038621793377459614,1.0,0.0,"{'alpha': np.float64(0.00118557458062246), 'hidden_layer_sizes': (1024,), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.00132905890709407), 'max_iter': 792, 'solver': 'lbfgs'}",0.00118557458062246,"(1024,)",constant,0.00132905890709407,792,lbfgs
1,4,0.03220110696724232,0.0008533353026077824,0.03647802480943822,0.00905990442700756,"{'alpha': np.float64(0.0009273395595076475), 'hidden_layer_sizes': (1024, 256, 128), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.02506845033700888), 'max_iter': 982, 'solver': 'adam'}",0.0009273395595076475,"(1024, 256, 128)",adaptive,0.02506845033700888,982,adam
1,5,0.11163069048534671,0.053095751787898146,0.2088391902959604,0.09441185716718499,"{'alpha': np.float64(0.0016913420253947483), 'hidden_layer_sizes': (1024, 384, 128), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.00015652965583627638), 'max_iter': 948, 'solver': 'sgd'}",0.0016913420253947483,"(1024, 384, 128)",adaptive,0.00015652965583627638,948,sgd
1,6,0.10450628891307315,0.046872025965321994,0.1716480110956486,0.1327573731557669,"{'alpha': np.float64(0.009230288601841082), 'hidden_layer_sizes': (1024, 256, 64), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.00021108836472022953), 'max_iter': 1115, 'solver': 'sgd'}",0.009230288601841082,"(1024, 256, 64)",constant,0.00021108836472022953,1115,sgd
