search_idx,iteration,mean_test_score,std_test_score,mean_train_score,std_train_score,params,learning_rate,n_epochs,prototypes_per_class
0,0,0.3637689075630252,0.08103847899299735,0.9943811561873399,0.005473469996865622,"{'learning_rate': np.float64(0.003539105417793086), 'n_epochs': 18, 'prototypes_per_class': 84}",0.003539105417793086,18,84
0,1,0.3637689075630252,0.08103847899299735,0.9949166277803151,0.006038972678388199,"{'learning_rate': np.float64(0.004518402500794061), 'n_epochs': 10, 'prototypes_per_class': 83}",0.004518402500794061,10,83
0,2,0.3637689075630252,0.08103847899299735,0.9890674102047889,0.011229049237695752,"{'learning_rate': np.float64(0.008742455762937109), 'n_epochs': 29, 'prototypes_per_class': 80}",0.008742455762937109,29,80
0,3,0.36234992784992787,0.0731306284854249,0.981443709991621,0.00913424634079608,"{'learning_rate': np.float64(0.008981725924655317), 'n_epochs': 24, 'prototypes_per_class': 92}",0.008981725924655317,24,92
0,4,0.3637689075630252,0.08103847899299735,0.9900806950486585,0.01122459702359441,"{'learning_rate': np.float64(0.010314795848271354), 'n_epochs': 8, 'prototypes_per_class': 81}",0.010314795848271354,8,81
1,0,0.3637689075630252,0.08103847899299735,0.9914055859380199,0.0033154257280625316,"{'learning_rate': np.float64(0.0020137289755315915), 'n_epochs': 33, 'prototypes_per_class': 98}",0.0020137289755315915,33,98
1,1,0.3637689075630252,0.08103847899299735,0.9947617890706377,0.006331523875040536,"{'learning_rate': np.float64(0.003763191084658536), 'n_epochs': 14, 'prototypes_per_class': 83}",0.003763191084658536,14,83
1,2,0.3682016317016317,0.0862664894588269,0.9941525847587686,0.0057260135284116906,"{'learning_rate': np.float64(0.01080368740942185), 'n_epochs': 30, 'prototypes_per_class': 84}",0.01080368740942185,30,84
1,3,0.3637689075630252,0.08103847899299735,0.9903115876459104,0.008996518489755525,"{'learning_rate': np.float64(0.0027936468201221047), 'n_epochs': 10, 'prototypes_per_class': 79}",0.0027936468201221047,10,79
1,4,0.35940200545928097,0.07691746190424287,0.9815547591172468,0.009153170515736121,"{'learning_rate': np.float64(0.01078957507041104), 'n_epochs': 9, 'prototypes_per_class': 92}",0.01078957507041104,9,92
2,0,0.3637689075630252,0.08103847899299735,0.9935362531077363,0.004014989104024458,"{'learning_rate': np.float64(0.00147196701697379), 'n_epochs': 10, 'prototypes_per_class': 89}",0.00147196701697379,10,89
2,1,0.36333940242763774,0.08162514766441509,0.993268970481107,0.004214440713881751,"{'learning_rate': np.float64(0.009624965074015855), 'n_epochs': 12, 'prototypes_per_class': 89}",0.009624965074015855,12,89
2,2,0.3637689075630252,0.08103847899299735,0.994821048329897,0.0062193639515234845,"{'learning_rate': np.float64(0.003487917887391771), 'n_epochs': 17, 'prototypes_per_class': 83}",0.003487917887391771,17,83
2,3,0.3644972435545191,0.08005487393673927,0.983222045132359,0.006550839095486209,"{'learning_rate': np.float64(0.0023228794765103823), 'n_epochs': 36, 'prototypes_per_class': 94}",0.0023228794765103823,36,94
2,4,0.36508441558441557,0.07970146793041759,0.9906549383370871,0.003746285898386019,"{'learning_rate': np.float64(0.0064425733701525085), 'n_epochs': 5, 'prototypes_per_class': 76}",0.0064425733701525085,5,76
3,0,0.36333940242763774,0.08162514766441509,0.9895434682492021,0.004336027375472885,"{'learning_rate': np.float64(0.005886431904046658), 'n_epochs': 15, 'prototypes_per_class': 97}",0.005886431904046658,15,97
3,1,0.36375108225108227,0.08105703066472157,0.9912955314604389,0.006071395593509679,"{'learning_rate': np.float64(0.0054590270637674835), 'n_epochs': 38, 'prototypes_per_class': 78}",0.0054590270637674835,38,78
3,2,0.3637689075630252,0.08103847899299735,0.9943023603054881,0.006288914766398721,"{'learning_rate': np.float64(0.005261813022359729), 'n_epochs': 17, 'prototypes_per_class': 83}",0.005261813022359729,17,83
3,3,0.3637689075630252,0.08103847899299735,0.9943811561873399,0.005473469996865622,"{'learning_rate': np.float64(0.0026362382119166916), 'n_epochs': 33, 'prototypes_per_class': 85}",0.0026362382119166916,33,85
3,4,0.3637689075630252,0.08103847899299735,0.9935362531077363,0.004014989104024458,"{'learning_rate': np.float64(0.003207696127887604), 'n_epochs': 6, 'prototypes_per_class': 89}",0.003207696127887604,6,89
4,0,0.36333940242763774,0.08162514766441509,0.9924338448122688,0.002234193364412759,"{'learning_rate': np.float64(0.008267492241681967), 'n_epochs': 33, 'prototypes_per_class': 98}",0.008267492241681967,33,98
4,1,0.3643571428571429,0.08043273832159542,0.9891402118293733,0.004659025676853056,"{'learning_rate': np.float64(0.004526026059288582), 'n_epochs': 8, 'prototypes_per_class': 77}",0.004526026059288582,8,77
4,2,0.3674629912571089,0.07620627366500098,0.9882503563735636,0.007944222743048983,"{'learning_rate': np.float64(0.006156594058564535), 'n_epochs': 27, 'prototypes_per_class': 95}",0.006156594058564535,27,95
4,3,0.3637689075630252,0.08103847899299735,0.995938893447742,0.00417004840790284,"{'learning_rate': np.float64(0.003824724263700037), 'n_epochs': 27, 'prototypes_per_class': 87}",0.003824724263700037,27,87
4,4,0.3637689075630252,0.08103847899299735,0.9901567489362328,0.009232072868908484,"{'learning_rate': np.float64(0.0013757109039890737), 'n_epochs': 10, 'prototypes_per_class': 79}",0.0013757109039890737,10,79
5,0,0.36375108225108227,0.08105703066472157,0.995108818259772,0.004690455317096148,"{'learning_rate': np.float64(0.009030118815263204), 'n_epochs': 31, 'prototypes_per_class': 88}",0.009030118815263204,31,88
5,1,0.3637689075630252,0.08103847899299735,0.9935362531077363,0.004014989104024458,"{'learning_rate': np.float64(0.002483603372895168), 'n_epochs': 32, 'prototypes_per_class': 90}",0.002483603372895168,32,90
5,2,0.36375108225108227,0.08105703066472157,0.9913783471954286,0.005937933298758032,"{'learning_rate': np.float64(0.006583523150641137), 'n_epochs': 35, 'prototypes_per_class': 78}",0.006583523150641137,35,78
5,3,0.3633215771156948,0.08164347225464305,0.9923507438801218,0.004415858085048938,"{'learning_rate': np.float64(0.007144000074313239), 'n_epochs': 30, 'prototypes_per_class': 90}",0.007144000074313239,30,90
5,4,0.3637689075630252,0.08103847899299735,0.9895434682492021,0.004336027375472885,"{'learning_rate': np.float64(0.006866239182836627), 'n_epochs': 8, 'prototypes_per_class': 96}",0.006866239182836627,8,96
